央视频道,#genre#
CCTV3,http://171.38.151.19:8082udp/224.1.2.7:32007/
CCTV3,http://110.7.128.242:8096/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://171.38.151.19:8082udp/224.1.2.49:32049/
CCTV3,http://118.212.169.134/PLTV/88888888/224/3221226435/index.m3u8
CCTV5+,http://171.38.151.76:8082udp/224.1.2.8:32008/
CCTV1,http://171.38.151.19:8082udp/224.1.2.16:32016/
CCTV13,http://118.212.169.134/PLTV/88888888/224/3221226430/index.m3u8
CCTV17,http://124.231.214.209:9999udp/228.1.1.7:6007/
CCTV14,http://116.117.105.228:8096/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://118.212.169.134/PLTV/88888888/224/3221226424/index.m3u8
CCTV12,http://118.212.169.134/PLTV/88888888/224/3221226466/index.m3u8
CCTV6,http://211.149.143.188:88/hls/6/index.m3u8
CCTV15,http://124.231.214.209:9999udp/228.1.1.43:6043/
CCTV5,http://116.117.105.228:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://211.149.143.188:88/hls/11/index.m3u8
CCTV14,http://118.212.169.134/PLTV/88888888/224/3221226447/index.m3u8
CETV1,http://118.212.169.134/PLTV/88888888/224/3221226862/index.m3u8
CCTV6,http://171.38.151.19:8082udp/224.1.2.9:32009/
CCTV9,http://110.7.128.242:8096/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://118.212.169.134/PLTV/88888888/224/3221226445/index.m3u8
CCTV13,http://171.38.151.19:8082udp/224.1.2.54:32054/
CCTV2,http://110.7.128.242:8096/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://124.238.110.12:9999udp/224.254.200.46:8004/
CCTV12,http://118.212.169.134/PLTV/88888888/224/3221226434/index.m3u8
CCTV10,http://61.136.67.238:50085/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://171.38.151.19:8082udp/224.1.2.77:32077/
CCTV2,http://61.136.67.238:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://61.136.67.238:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://116.117.105.228:8096/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://116.117.105.228:8096/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://61.136.67.238:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://211.149.143.188:88/hls/8/index.m3u8
CCTV7,http://211.149.143.188:88/hls/7/index.m3u8
CCTV6,http://171.38.151.76:8082udp/224.1.2.9:32009/
CCTV8,http://116.117.105.228:8096/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://124.231.214.209:9999udp/228.1.1.2:6002/
CCTV4,http://171.38.151.19:8082udp/224.1.2.50:32050/
CCTV6,http://61.136.67.238:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CETV4,http://118.212.169.134/PLTV/88888888/224/3221226932/index.m3u8
CCTV8,http://61.136.67.238:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://118.212.169.134/PLTV/88888888/224/3221226452/index.m3u8
CCTV11,http://171.38.151.76:8082udp/224.1.2.52:32052/
CCTV15,http://116.117.105.228:8096/tsfile/live/0014_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://110.7.128.242:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://171.38.151.19:8082udp/224.1.2.66:32066/
CCTV7,http://171.38.151.76:8082udp/224.1.2.69:32069/
CCTV15,http://211.149.143.188:88/hls/15/index.m3u8
CCTV4,http://171.38.151.76:8082udp/224.1.2.50:32050/
CCTV11,http://110.7.128.242:8096/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://124.231.214.209:9999udp/228.1.1.9:6009/
CCTV8,http://124.231.214.209:9999udp/228.1.1.8:6008/
CCTV7,http://61.136.67.238:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://211.149.143.188:88/hls/3/index.m3u8
CCTV15,http://61.136.67.238:50085/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://116.117.105.228:8096/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://171.38.151.76:8082udp/224.1.2.77:32077/
CCTV16,http://171.38.151.19:8082udp/224.1.2.78:32078/
CCTV8,http://118.212.169.134/PLTV/88888888/224/3221226442/index.m3u8
CETV1,http://10.8.8.250:5000/?id=10409
CCTV17,http://171.38.151.19:8082udp/224.1.2.55:32055/
CCTV11,http://171.38.151.19:8082udp/224.1.2.52:32052/
CCTV1,http://118.212.169.134/PLTV/88888888/224/3221226437/index.m3u8
CCTV1,http://171.38.151.76:8082udp/224.1.2.99:32099/
CETV4,http://124.238.110.12:9999udp/239.254.200.227:6261/
CCTV12,http://124.231.214.209:9999udp/228.1.1.11:6011/
CETV4,http://10.8.8.250:5000/?id=10506
CCTV4,http://118.212.169.134/PLTV/88888888/224/3221226433/index.m3u8
CCTV10,http://171.38.151.76:8082udp/224.1.2.51:32051/
CCTV17,http://211.149.143.188:88/hls/17/index.m3u8
CCTV5,http://61.136.67.238:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://116.117.105.228:8096/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://211.149.143.188:88/hls/2/index.m3u8
CCTV中学生,http://10.8.8.250:5000/?id=10497
CCTV15,http://171.38.151.19:8082udp/224.1.2.15:32015/
CCTV5+,http://171.38.151.19:8082udp/224.1.2.8:32008/
CCTV5,http://171.38.151.76:8082udp/224.1.2.66:32066/
